english-math-GPA
12	65	2
4	11	50
69	89	3
93	15	35
92	51	76
70	65	12
56	41	5
65	84	68
94	13	92
63	8	87
84	10	63
35	32	75
100	88	68
27	73	27
81	5	8
14	4	97
100	99	81
29	6	12
64	48	81
35	11	98
58	6	80
16	8	5
72	57	19
1	71	77
44	29	68
78	84	79
60	80	9
96	63	10
6	55	4
50	71	85
94	64	77
70	69	66
47	65	97
2	43	48
78	99	27
4	85	77
45	86	65
2	76	31
89	63	43
70	10	54
1	21	86
35	7	6
100	74	60
2	30	19
82	57	36
62	17	65
83	1	70
27	5	86
19	92	89
45	82	6
23	78	54
43	1	22
62	43	92
21	4	11
17	42	55
45	20	18
96	27	45
78	88	8
84	74	15
0	15	15
18	55	93
54	79	53
65	38	55
14	100	75
74	61	98
59	9	63
30	75	72
70	50	55
61	45	90
45	59	27
7	62	28
76	2	50
19	64	64
1	81	82
64	81	27
71	4	26
10	25	64
52	71	41
44	48	4
37	93	34
64	19	80
27	7	38
47	99	58
48	40	46
100	28	94
90	6	69
27	91	41
63	34	33
63	55	91
88	32	55
45	82	71
29	38	61
2	36	74
90	24	6
68	63	86
18	52	43
47	54	42
35	10	2
94	1	86
46	64	52
47	59	66
3	3	58
76	71	90
33	88	70
96	37	66
34	95	72
48	45	3
48	41	78
12	9	71
68	35	37
76	56	72
22	43	65
40	65	59
27	43	82
53	13	67
72	40	73
36	59	6
13	99	19
49	99	18
89	91	94
88	7	35
53	58	31
99	73	95
1	95	30
13	20	2
22	96	27
10	41	69
98	32	77
30	63	58
53	74	45
46	51	74
65	40	35
46	0	56
36	74	67
79	35	65
77	0	78
16	26	2
92	79	50
24	90	75
59	22	96
73	45	100
49	55	43
56	48	80
67	76	96
71	74	67
1	19	97
11	54	62
81	37	47
42	55	73
23	40	51
61	87	78
61	64	29
68	29	80
21	20	52
99	49	50
7	20	4
84	23	70
79	47	68
33	93	8
53	7	0
71	33	7
29	6	89
17	10	10
38	34	90
16	91	34
10	82	88
97	35	34
68	40	17
81	82	40
10	27	72
20	14	22
80	50	87
45	70	42
62	90	9
95	46	89
81	62	57
33	23	10
20	56	73
66	3	94
90	48	24
49	7	84
38	17	19
68	37	40
47	65	12
45	35	45
25	73	94
29	0	20
84	77	4
61	100	59
50	14	47
94	56	21
18	12	83
26	56	29
70	12	24
16	86	58
98	76	21
27	40	30
100	61	47
3	66	30
79	77	17
61	18	22
94	54	9
92	27	22
63	100	16
65	59	89
96	68	92
46	64	24
37	23	75
16	95	95
74	14	47
52	47	79
11	8	94
2	22	32
49	6	48
99	64	41
13	34	1
59	7	98
39	33	13
93	24	96
48	77	59
14	17	13
76	11	52
37	53	51
95	94	45
59	97	58
76	38	59
33	2	60
94	15	6
49	12	14
66	19	85
98	55	46
73	35	89
35	23	52
90	77	82
50	64	14
53	81	36
56	16	86
36	14	75
100	20	2
6	26	99
37	72	34
66	97	39
100	86	62
69	41	15
7	44	26
79	43	51
92	96	32
79	9	2
100	62	40
71	74	14
87	28	97
54	52	4
48	84	68
76	54	95
74	88	76
70	29	71
48	20	78
52	14	30
66	58	62
31	67	35
99	28	11
48	82	12
18	54	92
22	31	59
83	16	42
37	5	22
27	29	32
69	23	53
37	35	13
66	88	94
43	16	17
32	77	26
84	26	5
63	51	76
80	26	90
18	69	99
89	29	53
39	4	37
2	30	4
58	11	47
99	53	66
98	79	14
42	50	40
16	54	80
16	64	78
57	90	98
63	18	66
15	78	59
41	3	12
80	30	46
21	25	15
59	65	99
9	82	47
76	77	18
58	72	75
74	23	41
59	46	41
7	95	93
81	83	75
7	57	76
2	62	20
94	96	28
64	58	100
80	47	7
51	88	41
48	58	5
84	67	81
72	20	84
5	14	30
22	79	82
23	1	25
71	74	14
99	64	77
47	9	66
41	80	99
34	56	7
52	33	25
70	24	90
96	31	42
36	89	82
98	42	79
18	56	46
82	80	14
26	50	94
29	37	57
15	30	41
85	72	58
23	71	46
56	54	77
35	76	42
73	62	76
96	49	67
87	23	23
53	52	77
94	25	83
32	41	88
32	81	1
0	51	16
23	75	72
33	62	2
69	46	4
72	53	89
17	33	89
91	28	6
17	32	19
81	30	45
63	24	13
90	2	96
41	73	10
60	72	74
96	54	62
21	85	5
72	22	72
95	14	7
100	42	52
95	84	19
97	43	45
26	70	38
90	79	44
9	30	81
78	58	62
14	95	75
44	97	48
14	9	8
74	68	9
5	91	61
43	47	89
91	63	29
29	69	84
24	31	5
62	63	92
91	16	57
46	86	48
77	50	87
71	83	33
36	53	1
28	84	89
83	66	84
92	88	95
32	85	25
91	20	65
43	52	46
16	83	51
52	59	5
12	67	97
2	19	81
96	93	16
83	96	47
16	79	97
8	99	29
62	13	0
22	87	29
21	28	30
88	20	70
50	77	25
84	70	100
87	90	68
14	37	92
8	8	25
17	26	74
49	7	85
22	90	45
4	90	80
67	81	92
50	8	73
47	32	19
22	32	8
98	21	8
62	48	77
8	14	79
4	4	1
57	38	12
85	28	87
80	79	80
19	20	9
77	65	29
19	62	76
6	95	94
65	52	87
76	60	42
69	97	76
1	63	77
90	94	70
60	62	4
32	43	53
28	79	1
100	86	83
48	89	53
2	98	9
7	92	87
26	9	68
44	10	83
4	17	57
32	87	71
59	60	100
72	74	52
40	36	73
85	76	74
59	21	7
23	99	65
68	82	1
84	34	53
36	88	33
71	24	61
44	68	99
12	89	29
53	31	23
58	67	55
13	42	34
94	86	90
76	81	19
93	65	5
69	76	26
47	35	87
18	70	12
12	40	8
76	47	32
78	70	67
41	10	14
47	71	92
19	42	2
43	95	43
41	52	2
94	43	13
3	6	97
37	39	98
43	0	2
25	18	38
58	99	11
52	51	55
91	22	4
34	28	94
84	76	76
69	72	88
5	82	3
18	74	64
71	3	71
17	3	70
90	94	23
64	85	96
32	89	0
48	2	21
8	70	79
2	54	63
21	74	29
14	20	37
34	40	25
48	82	47
84	74	18
35	44	34
70	19	91
80	37	83
87	57	79
83	9	3
85	68	50
8	96	29
40	76	74
87	30	45
71	85	7
54	65	29
2	74	25
44	33	34
72	42	37
47	27	63
59	52	30
21	63	14
98	76	78
89	95	69
61	84	90
45	8	52
76	33	93
49	81	36
78	41	35
15	36	54
92	94	48
10	27	78
15	50	22
93	56	89
52	13	79
57	83	49
45	27	33
86	71	95
71	9	71
94	43	21
80	82	40
23	97	0
20	51	56
11	30	59
30	83	77
3	98	67
57	21	59
86	71	9
21	6	22
54	40	18
7	21	7
0	13	75
49	29	16
78	36	31
93	33	97
74	55	89
17	67	12
4	37	21
62	94	11
31	2	91
79	67	11
38	4	8
52	29	70
2	55	68
50	79	86
27	94	37
12	47	52
34	36	73
6	2	85
86	38	19
64	18	27
26	100	69
20	55	29
88	22	26
18	14	12
44	54	58
36	35	0
74	18	55
39	44	30
38	32	1
24	67	91
51	39	36
41	24	80
16	7	38
8	24	24
25	15	22
60	62	49
26	49	3
18	90	100
72	88	55
39	82	23
27	64	56
35	68	76
76	2	30
79	20	27
62	66	95
30	13	28
8	78	70
53	98	17
88	32	49
37	70	36
24	78	25
15	81	61
69	91	48
47	84	59
18	48	29
76	57	24
4	42	75
27	30	3
53	75	66
39	47	35
26	39	33
95	55	43
2	46	86
34	62	22
81	62	94
10	35	49
89	11	76
25	32	28
61	98	47
22	63	6
95	30	43
12	21	45
26	24	94
86	74	10
39	71	81
53	46	69
9	42	40
16	50	36
60	0	7
5	33	58
96	80	84
80	40	31
79	68	41
49	84	10
56	2	38
65	87	61
47	8	51
79	12	20
66	78	80
7	53	20
37	21	91
36	91	94
26	59	31
49	75	79
